sno,county,registered,raila,raila_per,ruto,ruto_per,waihiga,waihiga_per,wajackoya,wajackoya_per,valid,rejected,col2022
30,Baringo,281107,41227,18.99,175170,80.69,220,0.1,474,0.22,217091,1014,yellow
36,Bomet,377023,13383,4.47,285428,95.27,234,0.08,561,0.19,299606,1545,yellow
39,Bungoma,646612,145280,35.86,255906,63.16,1581,0.39,2384,0.59,405151,5516,yellow
40,Busia,416818,226042,81.68,48801,17.63,473,0.17,1414,0.51,276730,2889,blue
28,Elgeyo-Marakwet,213904,4893,2.96,160033,96.86,122,0.07,176,0.11,165224,1537,yellow
14,Embu,334684,31209,14.12,187981,85.04,523,0.24,1335,0.6,221048,1899,yellow
7,Garissa,201513,81376,74.01,28111,25.56,77,0.07,396,0.36,109960,590,blue
43,Homa Bay,551111,399784,98.93,3497,0.87,122,0.03,709,0.18,404112,2045,blue
11,Isiolo,89535,26449,44.85,32302,54.77,52,0.09,175,0.3,58978,536,yellow
34,Kajiado,463389,158556,51.38,148449,48.1,686,0.22,933,0.3,308624,1647,blue
37,Kakamega,844709,357857,71.04,141166,28.02,1237,0.25,3459,0.69,503719,5562,blue
35,Kericho,428126,15053,4.5,318861,95.32,207,0.06,395,0.12,334516,1821,yellow
22,Kiambu,1275168,210580,25.52,606429,73.49,3805,0.46,4377,0.53,825191,5635,yellow
3,Kilifi,588842,204536,71.64,77331,27.09,1067,0.37,2552,0.89,285496,3191,blue
20,Kirinyaga,376137,37909,14.53,220984,84.7,640,0.25,1367,0.52,260900,1823,yellow
45,Kisii,637111,265078,65.8,135326,33.59,754,0.19,1678,0.42,402836,4391,blue
42,Kisumu,607496,419997,97.45,10011,2.32,253,0.06,744,0.17,431005,2572,blue
15,Kitui,532833,235402,71.53,89419,27.17,1412,0.43,2840,0.86,329073,3324,blue
2,Kwale,328316,125541,70.13,51918,29,413,0.23,1137,0.64,179009,1359,blue
31,Laikipia,263273,48908,28.93,119142,70.46,432,0.26,602,0.36,169084,1336,yellow
5,Lamu,81468,26160,52.25,22876,45.69,186,0.37,848,1.69,50070,887,blue
16,Machakos,687691,304809,74.3,101456,24.73,1070,0.26,2903,0.71,410238,3759,blue
17,Makueni,479516,229213,78.82,59195,20.35,575,0.2,1836,0.63,290819,1908,blue
9,Mandera,217034,106279,78.4,28351,20.91,259,0.19,676,0.5,135565,846,blue
10,Marsabit,166944,55675,48.45,58782,51.16,144,0.13,303,0.26,114904,481,yellow
12,Meru,772573,103679,20.47,398946,78.77,1053,0.21,2798,0.55,506476,4809,yellow
44,Migori,469053,294136,84.58,52525,15.1,297,0.09,815,0.23,347773,1611,blue
1,Mombasa,642362,161015,58.07,113700,41,482,0.17,2104,0.76,277301,3812,blue
21,Murang'a,621027,73526,17.49,343349,81.68,1530,0.36,1938,0.46,420343,2554,yellow
47,Nairobi,2416551,767395,57.3,561775,41.94,4390,0.33,5807,0.43,1339367,12869,blue
29,Nandi,406393,26034,8.46,280813,91.3,281,0.09,447,0.15,307575,1492,yellow
33,Narok,398852,159455,51.7,148310,48.09,228,0.07,439,0.14,308432,1597,blue
46,Nyamira,323283,129025,61.84,78356,37.55,345,0.17,925,0.44,208651,1997,blue
18,Nyandarua,361217,49228,20.46,189519,78.76,821,0.34,1048,0.44,240616,1622,yellow
19,Nyeri,482000,52052,15.92,272507,83.37,982,0.3,1339,0.41,326880,2271,yellow
25,Samburu,100052,41737,59.33,28329,40.27,62,0.09,220,0.31,70348,340,blue
41,Siaya,533602,371092,98.6,4320,1.15,208,0.06,734,0.2,376354,1894,blue
6,Taita Taveta,182126,81271,72.89,29148,26.14,249,0.22,826,0.74,111494,999,blue
4,Tana River,141110,51390,54.96,41505,44.39,198,0.21,412,0.44,93505,1068,blue
13,Tharaka-Nithi,231966,15062,9.32,145081,89.79,461,0.29,974,0.6,161578,980,yellow
26,Trans Nzoia,399230,132440,52.87,116776,46.61,414,0.17,883,0.35,250513,2470,blue
23,Turkana,238554,96117,66.97,46696,32.53,274,0.19,445,0.31,143532,1099,blue
27,Uasin Gishu,506317,76009,21.73,272868,77.99,392,0.11,594,0.17,349863,2083,yellow
38,Vihiga,310063,114714,62.23,67633,36.69,515,0.28,1471,0.8,184333,2115,blue
8,Wajir,207767,83486,62.59,49062,36.78,217,0.16,626,0.47,133391,1014,blue
24,West Pokot,220042,63092,36.32,109944,63.29,194,0.11,375,0.22,173705,1258,yellow
32,Nakuru,1055515,226052,32.94,455864,66.44,1819,0.27,2435,0.35,686170,5503,yellow
